,Catégorie,Titre,Score,Avis,5 etoiles,4 etoiles,3 etoiles,2 etoiles,1 etoiles
326,Bijouterie,Ocarat,"4,5",3 581,75,10,4,2,9
327,Fournisseur de lentilles de contact,EasyLunettes,"4,5",3 446,63,20,4,3,10
328,Magasin de chaussures,Girotti,"4,5",2 513,64,28,2,1,5
329,Fabricant de lingerie,MOODZ,"4,5",2 494,75,13,5,3,4
330,Boutique d'accessoires de mode,fashionette,"4,5",2 136,81,7,3,2,7
331,Magasin de jouets,borntobekids,"4,5",1 781,81,8,3,2,6
332,Magasin de produits capillaires,Pop Brush,"4,5",1 414,83,10,1,<1,5
333,Fabricant de maroquinerie,ABP Concept,"4,5",1 312,78,7,4,3,8
334,Magasin de vêtements pour femmes,MinoDuSud,"4,5",1 301,75,13,4,3,5
335,Magasin de vêtements pour femmes,Grungemama,"4,5",1 287,76,12,5,2,5
336,Magasin de vêtements de sport (activewear),YUJ YOGA PARIS,"4,5",1 019,82,8,4,2,4
337,Shopping & mode,Pig & Hen,"4,5",930,81,10,3,2,4
338,Shopping & mode,Medagliettacane,"4,5",659,79,11,4,<1,6
339,Bijouterie fantaisie,Nilaï Paris,"4,5",523,77,9,5,3,6
340,Magasin de lunettes de soleil,Le Petit Cordon,"4,5",478,82,7,3,3,5
341,Magasin de streetwear,Ambition Store | Streetwear,"4,5",467,78,16,1,0,5
342,Magasin de chaussures,Bottesmolletslarges.fr,"4,5",428,68,16,6,4,6
343,Magasin de vêtements de sport,FOX FITNESS,"4,5",300,77,14,2,2,5
344,Magasin de puériculture,Looping Baby,"4,5",297,75,15,4,2,4
